Name,Time,X,Y,Layer,Observed,Computed,Weight,Group,Residual
MW-7,6713.000000,2275017.722686,10435219.279180,12,6570.100000,6573.354786,1.000000,1,-3.254786
MW-7,7132.000000,2275017.722686,10435219.279180,12,6569.560000,6571.707968,1.000000,1,-2.147968
MW-7,7466.000000,2275017.722686,10435219.279180,12,6568.930000,6571.147992,1.000000,1,-2.217992
MW-7,7859.000000,2275017.722686,10435219.279180,12,6568.590000,6571.236356,1.000000,1,-2.646356
MW-7,8232.000000,2275017.722686,10435219.279180,12,6566.590000,6570.492531,1.000000,1,-3.902531
MW-7,8520.000000,2275017.722686,10435219.279180,12,6567.070000,6569.532475,1.000000,1,-2.462475
MW-7,8957.000000,2275017.722686,10435219.279180,12,6566.240000,6568.341322,1.000000,1,-2.101322
MW-7,9343.000000,2275017.722686,10435219.279180,12,6564.980000,6567.975017,1.000000,1,-2.995017
MW-7,9656.000000,2275017.722686,10435219.279180,12,6565.590000,6567.853174,1.000000,1,-2.263174
MW-7,10023.000000,2275017.722686,10435219.279180,12,6565.020000,6567.657875,1.000000,1,-2.637875
MW-7,10386.000000,2275017.722686,10435219.279180,12,6563.900000,6567.356790,1.000000,1,-3.456790
MW-7,10719.000000,2275017.722686,10435219.279180,12,6564.180000,6566.881926,1.000000,1,-2.701926
MW-7,10861.000000,2275017.722686,10435219.279180,12,6564.120000,6566.619969,1.000000,1,-2.499969
MW-8,3835.000000,2276033.342313,10435219.277800,12,6564.400000,6580.700115,1.000000,1,-16.300115
